project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
210351,knb-lter-jrn.210351002.77,knb-lter-jrn,210351002,77,351,USDA Permanent Quadrats,USDA Permanent Quadrats,Study 351 - USDA Permanent Quadrats
210351,knb-lter-jrn.210351001.49,knb-lter-jrn,210351001,49,351,USDA Permanent Quadrats,USDA Permanent Quadrats,Study 351 - USDA Permanent Quadrats
210365,knb-lter-jrn.210365001.62,knb-lter-jrn,210365001,62,365,USDA Soil Movement Transect - 1500 feet running ENE,Soil Move,Study 365 - Soil Move
210368,knb-lter-jrn.210368001.41,knb-lter-jrn,210368001,41,368,Variability in soils and vegetation associated with harvester ant (Pogonomyrmex rugosus) nests on a Chihuahuan Desert watershed,ANTS,Study 368 - ANTS
210368,knb-lter-jrn.210368003.38,knb-lter-jrn,210368003,38,368,Variability in soils and vegetation associated with harvester ant (Pogonomyrmex rugosus) nests on a Chihuahuan Desert watershed,ANTS,Study 368 - ANTS
210368,knb-lter-jrn.210368004.33,knb-lter-jrn,210368004,33,368,Variability in soils and vegetation associated with harvester ant (Pogonomyrmex rugosus) nests on a Chihuahuan Desert watershed,ANTS,Study 368 - ANTS
210368,knb-lter-jrn.210368002.30,knb-lter-jrn,210368002,30,368,Variability in soils and vegetation associated with harvester ant (Pogonomyrmex rugosus) nests on a Chihuahuan Desert watershed,ANTS,Study 368 - ANTS
210369,knb-lter-jrn.210369001.21,knb-lter-jrn,210369001,21,369,Arthropods from Lvar creosotebush,LARARTH,Study 369 - LARARTH
210370,knb-lter-jrn.210370002.15,knb-lter-jrn,210370002,15,370,Jornada grasshoppers and vegetation,GRASSHOPV,Study 370 - GRASSHOPV
210370,knb-lter-jrn.210370001.14,knb-lter-jrn,210370001,14,370,Jornada grasshoppers and vegetation,GRASSHOPV,Study 370 - GRASSHOPV
210379,knb-lter-jrn.210379001.80,knb-lter-jrn,210379001,80,379,USDA JER NOAA CO-OP Climate Station at JER Headquarters,NA,Study 379
210379,knb-lter-jrn.210379003.63,knb-lter-jrn,210379003,63,379,USDA JER NOAA CO-OP Climate Station at JER Headquarters,NA,Study 379
210379,knb-lter-jrn.210379002.61,knb-lter-jrn,210379002,61,379,USDA JER NOAA CO-OP Climate Station at JER Headquarters,NA,Study 379
210380,knb-lter-jrn.210380001.739,knb-lter-jrn,210380001,739,380,USDA JER standard rain gauge precipitation,NA,Study 380
210385,knb-lter-jrn.210385003.12,knb-lter-jrn,210385003,12,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385007.34,knb-lter-jrn,210385007,34,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385005.34,knb-lter-jrn,210385005,34,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385001.26,knb-lter-jrn,210385001,26,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385008.17,knb-lter-jrn,210385008,17,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385006.41,knb-lter-jrn,210385006,41,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385002.49,knb-lter-jrn,210385002,49,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210385,knb-lter-jrn.210385004.24,knb-lter-jrn,210385004,24,385,Fluff grass: Microarthropod effects on nitrogen availability,FLUFGRAS,Study 385 - FLUFGRAS
210386,knb-lter-jrn.210386011.1,knb-lter-jrn,210386011,1,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210386,knb-lter-jrn.210386009.1,knb-lter-jrn,210386009,1,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210386,knb-lter-jrn.210386003.11,knb-lter-jrn,210386003,11,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210386,knb-lter-jrn.210386004.12,knb-lter-jrn,210386004,12,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210386,knb-lter-jrn.210386008.1,knb-lter-jrn,210386008,1,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210386,knb-lter-jrn.210386002.1,knb-lter-jrn,210386002,1,386,Mesquite Phenology Study,MESQPHEN,Study 386 - MESQPHEN
210389,knb-lter-jrn.210389002.2,knb-lter-jrn,210389002,2,389,LTER-I Transect Litter Collection Study,TRANFALL,Study 389 - TRANFALL
210389,knb-lter-jrn.210389001.2,knb-lter-jrn,210389001,2,389,LTER-I Transect Litter Collection Study,TRANFALL,Study 389 - TRANFALL
210392,knb-lter-jrn.210392001.69,knb-lter-jrn,210392001,69,392,Valentine creosotebush lagomorph exclosure study,NA,Study 392
210394,knb-lter-jrn.210394009.40,knb-lter-jrn,210394009,40,394,Deep Mesquite Soil Cores in playas and arroyos,MESQSOIL,Study 394 - MESQSOIL
210394,knb-lter-jrn.210394008.1,knb-lter-jrn,210394008,1,394,Deep Mesquite Soil Cores in playas and arroyos,MESQSOIL,Study 394 - MESQSOIL
210394,knb-lter-jrn.210394005.49,knb-lter-jrn,210394005,49,394,Deep Mesquite Soil Cores in playas and arroyos,MESQSOIL,Study 394 - MESQSOIL
210395,knb-lter-jrn.210395001.39,knb-lter-jrn,210395001,39,395,Grama/Mesquite Leaching Mineralization Potential Survey,GRMESMIN,Study 395 - GRMESMIN
210398,knb-lter-jrn.210398002.2,knb-lter-jrn,210398002,2,398,Soil nutrient distribution in long-term NPP plots,NPPSCHEM,Study 398 - NPPSCHEM
210398,knb-lter-jrn.210398001.2,knb-lter-jrn,210398001,2,398,Soil nutrient distribution in long-term NPP plots,NPPSCHEM,Study 398 - NPPSCHEM
210407,knb-lter-jrn.210407001.5,knb-lter-jrn,210407001,5,407,USDA-ARS Jornada Experimental Range Recording (Weighing) Rain Gauges,NA,Study 407
210408,knb-lter-jrn.210408005.3,knb-lter-jrn,210408005,3,408,Eddy flux tower,Bajada site,Study 408 - Bajada site
210409,knb-lter-jrn.210409001.63,knb-lter-jrn,210409001,63,409,Ecophysiology measurements on Study 278 plots [Lara Reichmann/Osvaldo Sala],ECOPHYS-Throop,Study 409 - ECOPHYS-Throop
